"Año","Mes","Region","Sub_Total"
2011,6,"North America",3578.27
2011,6,"Europe",699.0982
2011,6,"Pacific",3374.99
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"Pacific",3578.27
2011,6,"Pacific",3374.99
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"North America",699.0982
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"Pacific",699.0982
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3399.99
2011,6,"Europe",3374.99
2011,6,"North America",3374.99
2011,6,"North America",3399.99
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"Pacific",3399.99
2011,6,"North America",3578.27
2011,6,"Europe",699.0982
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"North America",699.0982
2011,6,"Pacific",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"Pacific",3399.99
2011,6,"North America",3578.27
2011,6,"Europe",3374.99
2011,6,"North America",3374.99
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",699.0982
2011,6,"North America",699.0982
2011,6,"Pacific",3578.27
2011,6,"Pacific",3374.99
2011,6,"Pacific",699.0982
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3374.99
2011,6,"Europe",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3374.99
2011,6,"North America",3374.99
2011,6,"North America",699.0982
2011,6,"Pacific",3374.99
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",699.0982
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,7,"North America",32940.1556
2011,7,"North America",20249.94
2011,7,"North America",8580.0739
2011,7,"North America",919.5201
2011,7,"North America",908.8209
2011,7,"North America",18269.946
2011,7,"North America",20544.7015
2011,7,"North America",10183.7952
2011,7,"North America",6783.7679
2011,7,"North America",2024.994
2011,7,"North America",26354.922
2011,7,"North America",1749.588
2011,7,"North America",10993.3516
2011,7,"North America",2036.394
2011,7,"North America",7186.5371
2011,7,"North America",13694.3494
2011,7,"North America",3911.5991
2011,7,"North America",10993.3942
2011,7,"North America",23401.1062
2011,7,"North America",31000.7804
2011,7,"North America",1718.8983
2011,7,"North America",38474.3572
2011,7,"North America",13196.0548
2011,7,"North America",4076.388
2011,7,"North America",32673.0446
2011,7,"North America",2146.962
2011,7,"North America",49193.9864
2011,7,"North America",4316.9864
2011,7,"North America",9398.8972
2011,7,"North America",11584.459
2011,7,"North America",41250.4391
2011,7,"North America",419.4589
2011,7,"North America",121761.9396
2011,7,"North America",7135.2649
2011,7,"North America",20628.5745
2011,7,"North America",4079.988
2011,7,"North America",21718.7639
2011,7,"North America",15479.55
2011,7,"North America",38816.8056
2011,7,"North America",2024.994
2011,7,"North America",18320.6894
2011,7,"North America",115696.3313
2011,7,"North America",68.4
2011,7,"North America",17358.0101
2011,7,"North America",419.4589
2011,7,"North America",14432.8174
2011,7,"North America",2082.6748
2011,7,"North America",75191.9599
2011,7,"North America",32569.104
2011,7,"North America",16544.5461
2011,7,"North America",419.4589
2011,7,"North America",32492.604
2011,7,"North America",32459.9278
2011,7,"North America",4345.8268
2011,7,"North America",51235.0091
2011,7,"North America",50948.9161
2011,7,"North America",11942.5965
2011,7,"North America",34628.298
2011,7,"North America",22717.5954
2011,7,"North America",52803.4477
2011,7,"North America",20.1865
2011,7,"North America",11361.2706
2011,7,"North America",9880.2666
2011,7,"North America",32971.323
2011,7,"North America",14660.3024
2011,7,"North America",2561.5408
2011,7,"North America",25493.3215
2011,7,"North America",19411.9336
2011,7,"North America",19734.8665
2011,7,"North America",13078.2699
2011,7,"North America",36724.0974
2011,7,"North America",8152.776
2011,7,"North America",4049.988
2011,7,"North America",39450.7884
2011,7,"North America",21356.1593
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Europe",3578.27
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3374.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",699.0982
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3399.99
2011,7,"Pacific",3399.99
2011,7,"Europe",699.0982
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",699.0982
2011,7,"Europe",3578.27
2011,7,"Pacific",3578.27
2011,7,"North America",699.0982
2011,7,"Pacific",3399.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3399.99
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Europe",699.0982
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"Pacific",3399.99
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3374.99
2011,7,"Pacific",3374.99
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3374.99
2011,7,"Pacific",3399.99
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"North America",3578.27
2011,7,"North America",699.0982
2011,7,"Pacific",3374.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",699.0982
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Europe",3399.99
2011,7,"North America",3578.27
2011,7,"North America",3399.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3374.99
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"North America",699.0982
2011,7,"Europe",699.0982
2011,7,"North America",3578.27
2011,7,"North America",699.0982
2011,7,"Pacific",3578.27
2011,7,"Pacific",699.0982
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"Pacific",3374.99
2011,7,"Pacific",3578.27
2011,7,"North America",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3374.99
2011,7,"North America",3578.27
2011,7,"North America",3374.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3374.99
2011,7,"North America",3578.27
2011,7,"North America",3374.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"North America",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3374.99
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3399.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",699.0982
2011,7,"North America",3399.99
2011,7,"Europe",699.0982
2011,7,"Pacific",3374.99
2011,7,"Pacific",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3399.99
2011,7,"North America",3578.27
2011,7,"North America",3399.99
2011,7,"Pacific",3578.27
2011,7,"Europe",3578.27
2011,7,"Pacific",3578.27
2011,7,"Europe",3578.27
2011,7,"Pacific",3578.27
2011,7,"Europe",699.0982
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3578.27
2011,7,"North America",699.0982
2011,7,"Pacific",3374.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",699.0982
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"Europe",3399.99
2011,7,"North America",3578.27
2011,7,"North America",3578.27
2011,7,"North America",3399.99
2011,7,"Pacific",3578.27
2011,7,"Europe",3578.27
2011,7,"Europe",3374.99
2011,7,"North America",3374.99
2011,7,"Pacific",3578.27
2011,7,"Pacific",3578.27
2011,7,"Pacific",3374.99
2011,8,"North America",844.1043
2011,8,"North America",26447.022
2011,8,"North America",4079.988
2011,8,"North America",6105.3293
2011,8,"North America",28045.3358
2011,8,"North America",25706.4831
2011,8,"North America",11.4
2011,8,"North America",37536.9632
2011,8,"North America",2039.994
2011,8,"North America",1362.3067
2011,8,"North America",8129.976
2011,8,"North America",20644.2343
2011,8,"North America",73761.5266
2011,8,"North America",5007.72
2011,8,"North America",419.4589
2011,8,"North America",2097.2945
2011,8,"North America",6654.7023
2011,8,"North America",4492.7043
2011,8,"North America",4075.0341
2011,8,"North America",10680.7251
2011,8,"North America",4079.988
2011,8,"North America",42341.075
2011,8,"North America",8129.976
2011,8,"North America",6035.8246
2011,8,"North America",16369.1545
2011,8,"North America",12499.4471
2011,8,"North America",81164.2329
2011,8,"North America",9794.6422
2011,8,"North America",3513.9448
2011,8,"North America",3814.3435
2011,8,"North America",4079.988
2011,8,"North America",6101.382
2011,8,"North America",419.4589
2011,8,"North America",16185.4292
2011,8,"North America",2169.0469
2011,8,"North America",13837.0855
2011,8,"North America",16667.3077
2011,8,"North America",11641.3209
2011,8,"North America",32444.904
2011,8,"North America",40510.3042
2011,8,"North America",33478.9114
2011,8,"North America",66848.3878
2011,8,"North America",20351.34
2011,8,"North America",12907.7717
2011,8,"North America",3427.4236
2011,8,"North America",49096.1075
2011,8,"North America",26967.1293
2011,8,"North America",64713.9547
2011,8,"North America",4064.988
2011,8,"North America",874.794
2011,8,"North America",15439.0357
2011,8,"North America",2604.0653
2011,8,"North America",14263.458
2011,8,"North America",91014.7853
2011,8,"North America",18542.1726
2011,8,"North America",55699.8037
2011,8,"North America",35410.9983
2011,8,"North America",20514.2859
2011,8,"North America",4049.988
2011,8,"North America",25686.5186
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",699.0982
2011,8,"Europe",3399.99
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3399.99
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",699.0982
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",699.0982
2011,8,"Europe",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3374.99
2011,8,"North America",3578.27
2011,8,"North America",3374.99
2011,8,"Pacific",3399.99
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",3399.99
2011,8,"Pacific",3578.27
2011,8,"Europe",699.0982
2011,8,"Europe",699.0982
2011,8,"Pacific",3374.99
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",699.0982
2011,8,"Pacific",3578.27
2011,8,"Europe",3399.99
2011,8,"North America",3578.27
2011,8,"North America",3399.99
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",699.0982
2011,8,"Pacific",3399.99
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"Europe",699.0982
2011,8,"Europe",3578.27
2011,8,"Europe",3374.99
2011,8,"Europe",3399.99
2011,8,"North America",3399.99
2011,8,"Pacific",3578.27
2011,8,"Europe",699.0982
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",699.0982
2011,8,"Europe",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",699.0982
2011,8,"Pacific",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Europe",699.0982
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",699.0982
2011,8,"Pacific",699.0982
2011,8,"Europe",699.0982
2011,8,"Europe",3578.27
2011,8,"North America",699.0982
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"North America",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"Pacific",3578.27
2011,8,"North America",57.6808
2011,8,"North America",419.4589
2011,8,"North America",40341.1056
2011,8,"North America",43749.2686
2011,8,"North America",87867.8426
2011,8,"North America",57739.7358
2011,8,"North America",5538.5094
2011,8,"North America",16292.052
2011,8,"North America",43803.1432
2011,8,"North America",4082.088
2011,8,"North America",3846.8825
2011,8,"North America",4509.8996
2011,8,"North America",3432.6101
2011,8,"North America",23983.6988
2011,8,"North America",62068.8727
2011,8,"North America",9475.5306
2011,8,"North America",32383.1098
2011,8,"North America",10231.4699
2011,8,"North America",27666.4493
2011,8,"North America",31624.7504
2011,8,"North America",7802.8815
2011,8,"North America",29479.3877
2011,8,"North America",2146.962
2011,8,"North America",5.7
2011,8,"North America",37499.5521
2011,8,"North America",18880.6522
2011,8,"North America",18648.607
2011,8,"North America",7758.1202
2011,8,"North America",12372.7773
2011,8,"North America",27612.424
2011,8,"North America",183.9382
2011,8,"North America",7349.9601
2011,8,"North America",2097.2945
2011,8,"North America",26037.0214
2011,8,"North America",42088.8187
2011,8,"North America",2597.0295
2011,8,"North America",3785.5031
2011,8,"North America",33919.0748
2011,8,"North America",21090.7731
2011,8,"North America",34250.3603
2011,8,"Europe",3578.27
2011,8,"North America",3578.27
2011,8,"Europe",699.0982
2011,8,"Pacific",3399.99
2011,9,"Europe",3578.27
2011,9,"Pacific",3374.99
2011,9,"Pacific",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3399.99
2011,9,"North America",3578.27
2011,9,"Europe",699.0982
2011,9,"North America",3399.99
2011,9,"Pacific",3374.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"North America",3374.99
2011,9,"North America",699.0982
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",699.0982
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",699.0982
2011,9,"North America",699.0982
2011,9,"Pacific",3399.99
2011,9,"Pacific",3399.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3374.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",699.0982
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3374.99
2011,9,"North America",3578.27
2011,9,"North America",3374.99
2011,9,"Pacific",3374.99
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3399.99
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3374.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3399.99
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3399.99
2011,9,"North America",699.0982
2011,9,"Pacific",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3374.99
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3374.99
2011,9,"Pacific",3374.99
2011,9,"Pacific",699.0982
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3374.99
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3399.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",699.0982
2011,9,"North America",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",699.0982
2011,9,"Pacific",3399.99
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",699.0982
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Europe",699.0982
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",699.0982
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"North America",3578.27
2011,9,"Europe",699.0982
2011,9,"Pacific",3578.27
2011,9,"Europe",3578.27
2011,9,"Europe",699.0982
2011,9,"North America",3578.27
2011,9,"North America",699.0982
2011,9,"North America",699.0982
2011,9,"Pacific",3399.99
2011,9,"Pacific",3374.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",699.0982
2011,9,"Europe",3578.27
2011,9,"North America",3578.27
2011,9,"North America",699.0982
2011,9,"Pacific",3399.99
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Pacific",3578.27
2011,9,"Europe",3374.99
2011,9,"North America",3374.99
2011,10,"North America",26367.395
2011,10,"North America",419.4589
2011,10,"North America",3018.3377
2011,10,"North America",8184.876
2011,10,"North America",4049.988
2011,10,"North America",603.3971
2011,10,"North America",41868.906
2011,10,"North America",32857.407
2011,10,"North America",10288.1579
2011,10,"North America",3389.6981
2011,10,"North America",3427.4236
2011,10,"North America",67458.9556
2011,10,"North America",6476.0896
2011,10,"North America",28557.875
2011,10,"North America",4076.388
2011,10,"North America",29797.1606
2011,10,"North America",1195.8158
2011,10,"North America",15432.4643
2011,10,"North America",12170.664
2011,10,"North America",4710.9421
2011,10,"North America",19669.4111
2011,10,"North America",17871.4452
2011,10,"North America",3028.7107
2011,10,"North America",19985.7845
2011,10,"North America",34978.0589
2011,10,"North America",35651.0339
2011,10,"North America",39244.3122
2011,10,"North America",4194.589
2011,10,"North America",43615.4161
2011,10,"North America",1749.588
2011,10,"North America",10160.1565
2011,10,"North America",1677.8356
2011,10,"North America",43520.1264
2011,10,"North America",42563.6688
2011,10,"North America",5492.1791
2011,10,"North America",419.4589
2011,10,"North America",24901.8424
2011,10,"North America",126198.3362
2011,10,"North America",2146.962
2011,10,"North America",57700.2263
2011,10,"North America",26112.205
2011,10,"North America",26149.2498
2011,10,"North America",74394.4204
2011,10,"North America",4082.088
2011,10,"North America",41452.6462
2011,10,"North America",16506.1424
2011,10,"North America",6127.782
2011,10,"North America",108783.5872
2011,10,"North America",419.4589
2011,10,"North America",104958.8068
2011,10,"North America",22817.6077
2011,10,"North America",2146.962
2011,10,"North America",19499.7922
2011,10,"North America",85982.4771
2011,10,"North America",23590.8589
2011,10,"North America",722.5949
2011,10,"North America",57.6808
2011,10,"North America",57804.9674
2011,10,"North America",1450.8898
2011,10,"North America",38638.7462
2011,10,"North America",50827.1365
2011,10,"North America",16259.8654
2011,10,"North America",367.8764
2011,10,"North America",20980.152
2011,10,"North America",9855.7761
2011,10,"North America",1749.588
2011,10,"North America",68958.1569
2011,10,"North America",419.4589
2011,10,"North America",49036.5151
2011,10,"North America",28672.9735
2011,10,"North America",41097.6007
2011,10,"North America",97915.4075
2011,10,"North America",6074.982
2011,10,"North America",722.5949
2011,10,"North America",30095.1611
2011,10,"North America",30593.8757
2011,10,"North America",28122.9884
2011,10,"North America",838.9178
2011,10,"North America",17451.416
2011,10,"North America",936.6567
2011,10,"North America",42033.8061
2011,10,"North America",19237.2798
2011,10,"North America",47716.8992
2011,10,"North America",34537.2578
2011,10,"North America",2162.0111
2011,10,"North America",38308.8583
2011,10,"North America",46957.8291
2011,10,"North America",2254.9498
2011,10,"North America",30635.5103
2011,10,"North America",58494.7906
2011,10,"Europe",3399.99
2011,10,"North America",3578.27
2011,10,"North America",3399.99
2011,10,"Pacific",3374.99
2011,10,"Pacific",3399.99
2011,10,"North America",3578.27
2011,10,"North America",3578.27
2011,10,"North America",3578.27
2011,10,"North America",3578.27
2011,10,"Europe",3578.27
2011,10,"Pacific",3374.99
2011,10,"Pacific",3399.99
2011,10,"Pacific",3578.27
2011,10,"North America",3578.27
2011,10,"North America",3578.27
2011,10,"North America",3578.27
2011,10,"North America",3578.27
2011,10,"North America",699.0982
2011,10,"Pacific",3399.99
2011,10,"Europe",3578.27
2011,10,"Europe",699.0982
2011,10,"North America",3578.27
2011,10,"North America",3578.27
